Stock name,Symbol,Link
Nagarjuna Fertilizers And Chemicals Limited,NAGAFERT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAGAFERT"""
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAGREEKCAP"""
Nagreeka Exports Limited,NAGREEKEXP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAGREEKEXP"""
Nahar Capital And Financial Services Limited,NAHARCAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAHARCAP"""
Nahar Industrial Enterprises Limited,NAHARINDUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAHARINDUS"""
Nahar Poly Films Limited,NAHARPOLY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAHARPOLY"""
Nahar Spinning Mills Limited,NAHARSPING,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAHARSPING"""
Nippon Life India Asset Management Ltd,NAM-INDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAM-INDIA"""
Narmada Agrobase Ltd,NARMADA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NARMADA"""
Natural Capsules Ltd,NATCAPSUQ,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NATCAPSUQ"""
Natco Pharma Limited,NATCOPHARM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NATCOPHARM"""
Nath Bio-genes (india) Limited,NATHBIOGEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NATHBIOGEN"""
National Aluminium Company Limited,NATIONALUM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NATIONALUM"""
Info Edge (india) Limited,NAUKRI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAUKRI"""
Nava Ltd,NAVA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAVA"""
Navin Fluorine International Limited,NAVINFLUOR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAVINFLUOR"""
Navkar Corporation Limited,NAVKARCORP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAVKARCORP"""
Navkar Urbanstructure Ltd,NAVKARURB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAVKARURB"""
Navneet Education Limited,NAVNETEDUL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAVNETEDUL"""
Nazara Technologies Ltd,NAZARA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NAZARA"""
Nbcc (india) Limited,NBCC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NBCC"""
N. B. I. Industrial Finance Company Limited,NBIFIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NBIFIN"""
Ncc Limited,NCC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NCC"""
Ncl Industries Limited,NCLIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NCLIND"""
Naga Dhunseri Group Limited,NDGL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NDGL"""
Nandan Denim Limited,NDL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NDL"""
NDL Ventures Ltd,NDLVENTURE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NDLVENTURE"""
NDR Auto Components Ltd,NDRAUTO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NDRAUTO"""
New Delhi Television Limited,NDTV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NDTV"""
North Eastern Carrying Corporation Limited,NECCLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NECCLTD"""
Nectar Lifesciences Limited,NECLIFE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NECLIFE"""
Nelcast Limited,NELCAST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NELCAST"""
Nelco Limited,NELCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NELCO"""
Neogen Chemicals Ltd,NEOGEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NEOGEN"""
Nesco Limited,NESCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NESCO"""
Nestle India Limited,NESTLEIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NESTLEIND"""
Tata Nifty ETF,NETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NETF"""
Netweb Technologies India Ltd,NETWEB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NETWEB"""
Network18 Media & Investments Limited,NETWORK18,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NETWORK18"""
Neuland Laboratories Limited,NEULANDLAB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NEULANDLAB"""
Newgen Software Technologies Ltd,NEWGEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NEWGEN"""
DSP BSE SENSEX Next 30 ETF,NEXT30ADD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NEXT30ADD"""
Mirae Asset Nifty Next 50 ETF,NEXT50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NEXT50"""
ICICI Prudential Nifty Next 50 ETF,NEXT50IETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NEXT50IETF"""
Next Mediaworks Limited,NEXTMEDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NEXTMEDIA"""
National Fertilizers Limited,NFL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NFL"""
Nakoda Group of Industries Ltd,NGIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NGIL"""
Narayana Hrudayalaya Ltd.,NH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NH"""
Nhpc Limited,NHPC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NHPC"""
New India Assurance Company Ltd,NIACL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIACL"""
NIBE Ltd,NIBE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIBE"""
Nrb Industrial Bearings Limited,NIBL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIBL"""
Nippon India ETF NIFTY 100,NIF100BEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIF100BEES"""
ICICI Prudential Nifty 100 ETF,NIF100IETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIF100IETF"""
UTI Nifty 10 yr Benchmark G-Sec ETF,NIF10GETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIF10GETF"""
UTI Nifty 5 yr Benchmark G-Sec ETF,NIF5GETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIF5GETF"""
UTI Nifty IT ETF,NIFITETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFITETF"""
UTI Nifty Midcap 150 ETF,NIFMID150,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFMID150"""
NIFTY,NIFTY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY"""
NIFTY1,NIFTY1,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY1"""
NIFTY100,NIFTY100,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY100"""
NIFTY100EQLWGT,NIFTY100EQLWGT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY100EQLWGT"""
NIFTY100ESG,NIFTY100ESG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY100ESG"""
NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY100ESGSECLDR"""
Kotak Nifty 100 Equal Weight ETF,NIFTY100EW,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY100EW"""
NIFTY100LIQ15,NIFTY100LIQ15,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY100LIQ15"""
NIFTY100LOWVOL30,NIFTY100LOWVOL30,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY100LOWVOL30"""
NIFTY200,NIFTY200,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY200"""
NIFTY200ALPHA30,NIFTY200ALPHA30,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY200ALPHA30"""
NIFTY200MOMENTM30,NIFTY200MOMENTM30,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY200MOMENTM30"""
NIFTY200QUALITY30,NIFTY200QUALITY30,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY200QUALITY30"""
NIFTY500,NIFTY500,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY500"""
NIFTY500MOMENTM50,NIFTY500MOMENTM50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY500MOMENTM50"""
NIFTY500MULTICAP,NIFTY500MULTICAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY500MULTICAP"""
NIFTY50ADD,NIFTY50ADD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50ADD"""
NIFTY50DIVPOINT,NIFTY50DIVPOINT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50DIVPOINT"""
NIFTY50EQLWGT,NIFTY50EQLWGT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50EQLWGT"""
NIFTY50PR1XINV,NIFTY50PR1XINV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50PR1XINV"""
NIFTY50PR2XLEV,NIFTY50PR2XLEV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50PR2XLEV"""
NIFTY50TR1XINV,NIFTY50TR1XINV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50TR1XINV"""
NIFTY50TR2XLEV,NIFTY50TR2XLEV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50TR2XLEV"""
NIFTY50VALUE20,NIFTY50VALUE20,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50VALUE20"""
NIFTY50VALUE30,NIFTY50VALUE30,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTY50VALUE30"""
NIFTYALPHA50,NIFTYALPHA50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYALPHA50"""
NIFTYALPHALOWVOL,NIFTYALPHALOWVOL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYALPHALOWVOL"""
NIFTYAUTO,NIFTYAUTO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYAUTO"""
NIFTYBEES,NIFTYBEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYBEES"""
Bajaj Finserv Nifty 50 ETF,NIFTYBETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYBETF"""
NIFTYCAPITALMKT,NIFTYCAPITALMKT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYCAPITALMKT"""
NIFTYCOMMODITIES,NIFTYCOMMODITIES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYCOMMODITIES"""
NIFTYCONSUMPTION,NIFTYCONSUMPTION,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYCONSUMPTION"""
NIFTYCONSURDURBL,NIFTYCONSURDURBL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYCONSURDURBL"""
NIFTYCPSE,NIFTYCPSE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYCPSE"""
NIFTYDIVOPPS50,NIFTYDIVOPPS50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYDIVOPPS50"""
NIFTYETF,NIFTYETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYETF"""
NIFTYFINSERVICE,NIFTYFINSERVICE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYFINSERVICE"""
NIFTYFINSRV2550,NIFTYFINSRV2550,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYFINSRV2550"""
NIFTYFMCG,NIFTYFMCG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYFMCG"""
NIFTYGROWSECT15,NIFTYGROWSECT15,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGROWSECT15"""
NIFTYGS10YR,NIFTYGS10YR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGS10YR"""
NIFTYGS10YRCLN,NIFTYGS10YRCLN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGS10YRCLN"""
NIFTYGS1115YR,NIFTYGS1115YR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGS1115YR"""
NIFTYGS15YRPLUS,NIFTYGS15YRPLUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGS15YRPLUS"""
NIFTYGS48YR,NIFTYGS48YR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGS48YR"""
NIFTYGS813YR,NIFTYGS813YR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGS813YR"""
NIFTYGSCOMPSITE,NIFTYGSCOMPSITE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYGSCOMPSITE"""
NIFTYHEALTHCARE,NIFTYHEALTHCARE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYHEALTHCARE"""
NIFTYIETF,NIFTYIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYIETF"""
NIFTYINDDEFENCE,NIFTYINDDEFENCE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYINDDEFENCE"""
NIFTYINDDIGITAL,NIFTYINDDIGITAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYINDDIGITAL"""
NIFTYINDIAMFG,NIFTYINDIAMFG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYINDIAMFG"""
NIFTYINDTOURISM,NIFTYINDTOURISM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYINDTOURISM"""
NIFTYLARGEMID250,NIFTYLARGEMID250,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYLARGEMID250"""
NIFTYM150MOMNTM50,NIFTYM150MOMNTM50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYM150MOMNTM50"""
NIFTYM150QLTY50,NIFTYM150QLTY50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYM150QLTY50"""
NIFTYMEDIA,NIFTYMEDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYMEDIA"""
NIFTYMETAL,NIFTYMETAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYMETAL"""
NIFTYMICROCAP250,NIFTYMICROCAP250,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYMICROCAP250"""
Nifty midcap 150,NIFTYMIDCAP150,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYMIDCAP150"""
NIFTYMIDCAP50,NIFTYMIDCAP50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYMIDCAP50"""
